Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sat Jan 21 13:40:37 EST 2023,ABoundedBuffer.java,1674326437910,56297,0,(D)1(F)2(I)10,0.7692307692307693,7.6923076923076925,0.0,15.384615384615385,0.0,0.0,0.23214285714285715,0.0,0.017857142857142856,0.03571428571428571,0.0,0.0,0.17857142857142858,0.0,[]
,/modelData/A0UserStudy2010.arff,Sat Jan 21 13:40:37 EST 2023,ABoundedBuffer.java, 1674326437910
2,,Sat Jan 21 13:41:34 EST 2023,ABoundedBuffer.java,1674326494475,8254,8254,(I)7(R)2(I)7,0.875,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.25,1.75,0.0,[]
3,,Sat Jan 21 13:41:43 EST 2023,ABoundedBuffer.java,1674326503337,3240,3240,(I)3(R)2(I)5(R)1(I)4(R)1(I)1(R)1(I)2(R)5,0.6,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,3.3333333333333335,5.0,0.0,[]
4,,Sat Jan 21 13:41:47 EST 2023,ABoundedBuffer.java,1674326507095,7767,7767,(I)4(R)2(I)5(R)12,0.391304347826087,0.0,0.0,0.0,0.0,0.0,3.2857142857142856,0.0,0.0,0.0,0.0,2.0,1.2857142857142858,0.0,[]
5,,Sat Jan 21 13:41:55 EST 2023,ABoundedBuffer.java,1674326515002,8464,8464,(R)2(I)5(R)1(I)1(R)1(I)4,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.5,1.25,0.0,[]
6,,Sat Jan 21 13:42:03 EST 2023,ABoundedBuffer.java,1674326523466,8632,8632,(I)5(R)5(I)10,0.75,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.625,1.875,0.0,[]
7,,Sat Jan 21 13:42:09 EST 2023,ABoundedBuffer.java,1674326529160,14207,0,(I)21,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,[]
8,,Sat Jan 21 13:42:23 EST 2023,ABoundedBuffer.java,1674326543547,18130,0,(I)3(R)5(I)11,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,1.0555555555555556,0.0,0.0,0.0,0.0,0.2777777777777778,0.7777777777777778,0.0,[]
9,,Sat Jan 21 13:42:41 EST 2023,ABoundedBuffer.java,1674326561677,34215,0,(F)2(I)15,0.8823529411764706,0.0,0.0,11.76470588235294,0.0,0.0,0.5,0.0,0.0,0.058823529411764705,0.0,0.0,0.4411764705882353,4.0,[]
10,,Sat Jan 21 13:43:16 EST 2023,ABoundedBuffer.java,1674326596919,17988,0,(I)1(D)1(F)2(I)2(R)2,0.375,12.5,0.0,25.0,0.0,0.0,0.47058823529411764,0.0,0.058823529411764705,0.11764705882352941,0.0,0.11764705882352941,0.17647058823529413,0.0,[]
11,,Sat Jan 21 13:43:35 EST 2023,ABoundedBuffer.java,1674326615341,14558,0,(R)2(D)1(F)3,0.0,16.666666666666664,0.0,50.0,0.0,0.0,0.42857142857142855,0.0,0.07142857142857142,0.21428571428571427,0.0,0.14285714285714285,0.0,0.0,[]
12,,Sat Jan 21 13:43:51 EST 2023,ABoundedBuffer.java,1674326631259,18300,0,(F)1(I)3(D)1(F)4(I)1(R)2,0.3333333333333333,8.333333333333332,0.0,41.66666666666667,0.0,0.0,0.6666666666666666,0.0,0.05555555555555555,0.2777777777777778,0.0,0.1111111111111111,0.2222222222222222,0.0,[]
